Title,Price,Location,Bedrooms,Baths,Area
100% ORIGINAL PICTURES 1 KANAL SEMI FURNISHED BRAND NEW BUNGALOW FOR SALE ON 70 FT ROAD FACING PARK,790.0,"DHA Phase 6 - Block B, DHA Phase 6",5,6,1 Kanal
30 Marla Full Basement 1 Kanal Top Quality Build Luxurious Beautiful Modern Design Villa With Basement For Sale In DHA Lahore Phase 6 Prime Location,767.0,"DHA Phase 6 - Block N, DHA Phase 6",5,7,1.2 Kanal
ONE KANAL SPANISH FAISAL RASOOL DEGSIN LUXURY DESIGN HOUSE FOR SALE AT A VERY HOT LOCATION NEAR DEFENCE RAYA GOLF CLUB,875.0,"DHA Phase 6 - Block M, DHA Phase 6",5,6,1 Kanal
1 Kanal Top Quality Build Luxurious Beautiful Modern Design Villa With Basement For Sale In DHA Lahore Phase 6 Prime Location Read,821.0000000000001,"DHA Phase 6 - Block J, DHA Phase 6",5,7,1 Kanal
5 Marla House Available For Sale In Usman Block Bahria Town Lahore,250.0,"Bahria Town - Usman Block, Bahria Town - Sector B",3,4,5 Marla
Corner House Brand New Fully Furnished Facing Park Top Location House Near To Commercial Market,910.0,"DHA Phase 6 - Block H, DHA Phase 6",5,6,1 Kanal
10 Marla Owner Build Facing Park Home For Sale,375.0,"Jubilee Town - Block B, Jubilee Town",6,7,10 Marla
1 KANAL FULLY FURNISHED BRAND NEW MODERN BUNGALOW NEAR DOLMEN MALL,800.0,"DHA Phase 6 - Block K, DHA Phase 6",5,6,1 Kanal
5 MARLA BRAND NEW UNIQUE & STYLISH HOUSE FOR SALE,275.0,"DHA 9 Town, DHA Defence",3,4,5 Marla
1 KANAL LUXURY DESCENT MODERN HOUSE FOR SALE IN EXECUTIVE LOCATION OF FAZAIA PHASE 1,1045.0,"Fazaia Housing Scheme Phase 1 - Block G, Fazaia Housing Scheme Phase 1",5,6,1 Kanal
2 Kanal Slightly Used Modern Design Well Maintained Owner Build Bungalow For Sale At Prime Location Of DHA Lahore Near To Park Masjid Gold Crest Mall &Amp; Commercial Market.,1650.0,"DHA Phase 3 - Block X, DHA Phase 3",6,7,2 Kanal
1 Kanal House For Sale In Paragon City Lahore,700.0,"Paragon City, Lahore",6,7,1 Kanal
Near To Park,250.0,"Bahria Nasheman - Zinia, Bahria Nasheman",5,5,8 Marla
Exceptional Multi-Level Family Home With Excellent Rental Income Potential,310.0,"Mustafa Town - Abbas Block, Mustafa Town",5,5,5 Marla
Prime Location House For Grabs In 4 Marla Samanabad,235.0,"Samanabad, Lahore",4,4,4 Marla
DHA Phase 6 2 Kanal Ultra Luxury Modern Bungalow 30 KV Solar Swimming Pool 100% Original Deal Near Raya Fairways,2475.0,"DHA Phase 6, DHA Defence",7,7,2 Kanal
12 MARLA CORNER BRAND NEW LUXURY MODERN HOUSE FOR SALE IN SECTOR E RAFAI BLOCK BAHRIA TOWN LAHORE,700.0,"Bahria Town - Rafi Block, Bahria Town - Sector E",5,6,12 Marla
1 KANAL FULL LUXURIOUS HOUSE FOR SALE AT PRIME LOCATION OF DHA PHASE 7 REASONABLE PRICE,625.0,"DHA Phase 7, DHA Defence",5,6,1 Kanal
DHA Phase 6 1 KANAL Brand New 70 Feet Road 25 KVA Solar With Green Meter Installed D Block Near DHA Office Dolmen Mall Etc,875.0,"DHA Phase 6 - Block D, DHA Phase 6",5,6,1 Kanal
10 Marla Brand New Design House Prime Hot For Sale dha Phase4,580.0,"DHA Phase 4 - Block KK, DHA Phase 4",4,5,10 Marla
1Kanal Most Beautiful out House For Sale DHA Phase 1,730.0,"DHA Phase 1, DHA Defence",5,6,1 Kanal
5 Marla Brand New Ultra Modern Design House For Sale In Nishter Block,260.0,"Bahria Town - Nishtar Block, Bahria Town - Sector E",3,4,5 Marla
"5 Marla Brand New Modern Design Lavish House For Sale In Park View City Lahore | For Discounted Price And Original Pictures Download The App ""Signature Lands"".",170.0,"Park View City - Platinum Block, Park View City",4,4,5 Marla
5 Marla Brand New Modern Design Lavish House For Sale In Park View City Lahore For Discounted Price And Original Pictures Download The App Signature Lands,250.0,"Park View City - Executive Block, Park View City",4,4,5 Marla
"5 Marla Brand New Lavish House For Sale In Park View City Lahore | For Discounted Price And Original Pictures Download The App ""Signature Lands"".",235.0,"Park View City - Tulip Overseas, Park View City",4,4,5 Marla
"5 Marla Brand New Modern Design Lavish House For Sale In Park View City Lahore | For Discounted Price And Original Pictures Download The App ""Signature Lands"".",229.99999999999997,"Park View City - Tulip Overseas, Park View City",4,4,5 Marla
5 Marla Grey Structure Available For Sale In Jinnah Block Sector E Bahria Town Lahore,175.0,"Bahria Town - Jinnah Block, Bahria Town - Sector E",3,4,5 Marla
3 Years Installment Plan Luxury 10 Marla Brand New House In Park View City Lahore,315.0,"Park View City, Lahore",5,6,10 Marla
3 Years Instalment Plan Luxury 10 Marla Brand New House In Park View City Lahore,315.0,"Park View City, Lahore",5,6,10 Marla
3 Years Installments Plan 5 Marla Brand New House For Sale In Park View City,220.00000000000003,"Park View City, Lahore",4,5,5 Marla
Mohsin ALi Designe Furnished House For Sale With Basement At Top Location Near Raya Fairways,921.0000000000001,"DHA Phase 6 - Block D, DHA Phase 6",6,7,1 Kanal
"Fully Renovated House For Sale In Sector-B, Askari-10",844.9999999999999,"Askari 10 - Sector B, Askari 10",5,6,13 Marla
"1 Kanal Double Unit House For Sale In DHA Phase 3 Block X ,Lahore.",750.0,"DHA Phase 3 - Block X, DHA Phase 3",6,6,1 Kanal
Central park Modren Elevation slightly use House available for sale prime location near tooo park and masjid All facilities available here Solar system install . . . .,550.0,"Central Park Housing Scheme, Lahore",6,6,1 Kanal
Ideally Located Prime Location House For Sale In Khayaban-E-Amin - Block A Available,210.0,"Khayaban-e-Amin - Block A, Khayaban-e-Amin",3,4,5 Marla
Stunning House Is Available For sale In Samanabad,585.0,"Samanabad, Lahore",7,6,8 Marla
Prime Location 5 Marla House For Sale In Paragon City - Imperial 2 Block Lahore,260.0,"Paragon City - Imperial 2 Block, Paragon City",3,3,5 Marla
Ideally Located Corner House Of 5 Marla Is Available For Sale In Lahore,225.0,"Park View City - Crystal Block, Park View City",4,4,5 Marla
Studio And 1 Bed Apartments Are Available For Sale,69.87,"Marbella Drive Residency, Raiwind Road",1,1,1.8 Marla
2-Kanal High-End Brand New House for Sale in Prime Location Golf & Park Facing,4800.0,"Defence Raya, DHA Defence",6,7,2 Kanal
